MEDIO;SOPORTE;URL;TIPO DE MENSAJE;CONTENIDO A ANALIZAR;INTENSIDAD;TIPO DE ODIO;TONO HUMORISTICO;MODIFICADOR;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15
EL PAï½S ;WEB;URL_a4d7efc0;COMENTARIO;el barï½ï½a nunca acaeza ante un segundo b ni ante un tercera , ya estan los arbitros para impedirlo....lo de messi es una autentica vergï½ï½enza;3.0;Otros;;;;;;;;;
EL PAï½S ;WEB;URL_a4d7efc0;COMENTARIO;el real madrid ha puesto punto y final a su andadura en la copa del rey en el primer escalï½n. los de zidane han caï½ï½do ante el alcoyano, de segunda b, a pesar de empezar ganando y jugar con un hombre menos en la prï½rroga. el tï½cnico francï½s dispuso un equipo plagado de los menos habituales, con vinicius y mariano en ataque. ninguno de los dos logrï½ crear ocasiones. fue militao el que marcï½ el gol del madrid, justo antes del descanso. en la segunda parte intentaron cerrar el partido, pero sin el colmillo suficiente y el modesto alcoyano aprovechï½ un cï½rner para empatar el partido a cinco minutos para el final. el empate sentï½ como un jarro de agua frï½ï½a a los blancos, que lo intentaron en el tiempo extra a falta de cinco minutos, el casanova consiguiï½ el gol mï½s importante de su vida, que vale la clasificaciï½n para octavos de la copa. el madrid de zidane queda apeado del torneo una vez mï½s, por lo que el francï½s se quedarï½ sin pelear por el ï½nico tï½ï½tulo que no ha conseguido nunca. asï½ï½ hemos contado el minuto a minuto del partido en directo:;0.0;;;;;;;;;;
EL PAï½S ;WEB;URL_54312d9e;COMENTARIO;cristina cifuentes podrï½ï½a haber sido la presidenta de madrid que todavï½ï½a aï½ï½oran los madrileï½ï½os, a la vista de lo que es ayuso. podrï½ï½a haber llegado a ser la presidenta del pp, de madrid, por supuesto, pero a nivel estatal quizï½s tambiï½n. pero su mala cabeza hundiï½ su futuro polï½ï½tico en el fango, de donde es imposible regresar. quï½ necesidad tenï½ï½a de demostrar que habï½ï½a sacado un mï½ster, si ni siquiera casado lo tiene. urdiï½ un plan, con amenazas y abuso de poder, para falsificar un documento oficial, penado con cï½rcel, que no necesitaba para su carrera polï½ï½tica. y para rematar el desastre le pillaron hurtando unas cremas faciales que podrï½ï½a haber pagado tranquilamente, pero su cleptomanï½ï½a oculta y la cï½mara indiscreta la destrozaron. una vergï½ï½enza de libro.;3.0;Ideolï½gico;;;;;;;;;
EL PAï½S ;WEB;URL_54312d9e;COMENTARIO;habrï½ï½a que reabrir el caso. el supremo se dedica a proteger a los de siempre. hay voluntad para ello?;3.0;Ideolï½gico;;;;;;;;;
EL PAï½S ;WEB;URL_54312d9e;COMENTARIO;"me parece un poco exagerado pedir mï½s de tres aï½ï½os de prisiï½n a cifuentes por este caso. habrï½ï½a que investigar de quien destapï½ el caso, al igual que las cremas, seguro que fue de ""fuego amigo"", de alguien que no le interesaba que destapara los casos internos de corrupciï½n en los peperos madrileï½ï½os como amenazï½. al menos esta mujer no se le conoce que se llevara dinero pï½blico ni que abasteciera al partido, estorbaba a mucha gente ""amiga"".  mucho mï½s grave fue los del tï½ï½tulo acadï½mico  de casadete regalado con convalidaciones y su master de tres dï½ï½as de harvard en aravaca. comparada con la actual caï½tica, no tiene ni punto de comparaciï½n, que cuando habla sube el pan a costa de decir sandez tras sandez. mientras, la otra presidenta con tï½ï½tulo nobiliario, que llenï½ por lo menos al partido de dinero ilï½ï½cito, sigue campando por sus anchas.";3.0;Ideolï½gico;Si;;;;;;;;
EL PAï½S ;WEB;URL_54312d9e;COMENTARIO;"parece que todos los delincuentes niegan las evidencias y pruebas hasta el ultimo momento. deberia sancionarse a aquellos delincuentes que prorrogan el juicio hasta limites insospechados, con pruebas irrefutables. si la directora en un rasgo de honestidad dice que falsifico y por orden de ... el ""hagan juego seï½ï½ores, no va mas"" deberia finalizarse. pero para que cifuentes haya delinquido se necesitan cooperadores y complices, de estos hay muchos, empezando por el rector, la asesora ... etc, etc. en la juan carlos i (vaya una casualidad, dios los cria y ellos se juntan) parece que hay mas irregularidades que en la sede del pp-vox.";3.0;Ideolï½gico;;;;;;;;;
EL PAï½S ;WEB;URL_54312d9e;COMENTARIO;preguntï½rselo al fracasado, media carrera en 6 meses, un mï½ster en aravaca eeuu y otro mï½ster presencial sin ir a clase, este es el nivel de corrupciï½n del pp.;4.0;Ideolï½gico;Si;;;;;;;;
EL PAï½S ;WEB;URL_54312d9e;COMENTARIO;tenemos aï½ï½os para ver a esta asociaciï½n delictiva en los banquillos ante los jueces. mï½s agilidad, sres. jueces y que reciban, ni mï½s ni menos lo que les corresponde por sus corrupciones. pero tienen que caer todos, se llamen como se llamen, y devolver los 130 mil millones de euros que robaron a los espaï½ï½oles.;3.0;Ideolï½gico;;;;;;;;;
EL PAï½S ;WEB;URL_54312d9e;COMENTARIO;"una ""fardera"" como presidenta de la comunidad de madrid! cosas veredes. a quien molestarï½ï½a que hasta sus propios compaï½ï½eros filtraron el video de los potitos de crema a la tele?";4.0;Ideolï½gico;;;;;;;;;
EL PAï½S ;WEB;URL_54312d9e;COMENTARIO;uno a uno tienen que ir cayendo frente a la justicia los miembros de la asociaciï½n. basta ya de impunidad!;3.0;Ideolï½gico;;;;;;;;;
